r_id	date	duration	name	price	qntysold
81310	4/15/2003	62	Compaq iPAQ H5455 BlueTooth and 802.1(NEW!!) 	107	2
31435	4/15/2003	83	Palm Pilot Professional - FREE SHIPPING!!! 	175	4
17836	4/15/2003	15	DELL AXIM X5 400Mhz 64mb Pocket PC EXTRAS 	250	8
52182	4/15/2003	7	NEW FACTORY SEALED Palm m130 COLOR NR 	327	1
60456	4/15/2003	47	NEW Handspring Visor Prism 8MB Color Palm PDA 	338	11
96774	4/15/2003	56	Compaq iPAQ H3765 PocketPC PDA - Needs Repair 	195	11
49963	4/15/2003	67	"iPaq 3955, MINT!, + lots of extras "	293	1
75655	4/15/2003	61	Palm Pilot III XE (IIIXE / 3XE) PDA + EXTRAS 	317	2
87815	4/15/2003	60	BRAND NEW Palm M125 PDA SEALED! 	347	11
70199	4/15/2003	23	SONY Clie PEG-NZ90 *NEW*! *FACTORY SEALED* !! 	253	6
84552	4/15/2003	23	NICE!! Compaq iPAQ 3650 32MB Color PocketPC!! 	272	14
14465	4/15/2003	59	Dell Axim X5 Handheld PDA **NR** Check it out 	334	11
36477	4/15/2003	24	Sony Clie PEG-S320 	171	6
53123	4/15/2003	74	Sony Clie PEG-N760C MP3 Player & Camera Stick 	347	6
22125	4/15/2003	64	BRAND NEW Palm M105 PDA 	142	7
12124	4/15/2003	86	Ipaq 3870 Bluetooth Extras Win CE 2002 Nice! 	218	9
26904	4/15/2003	11	"Handspring VISOR DELUXE Brand New, NOT refurb "	225	5
32989	4/15/2003	43	Handspring Visor with Magellan GPS 	257	1
58880	4/15/2003	68	*NEW* DELL AXIM X5 POCKET PC 400MHZ 64MB NR! 	102	13
43436	4/15/2003	82	Sharp Zaurus SL-5500 PDA + Wireless CF Card 	219	1
43627	4/15/2003	6	New Dell Axim X5 400Mhz Handheld PDA 	296	8
66598	4/15/2003	47	iPAQ Pocket PC 	161	8
52283	4/15/2003	18	Excellent Handspring Visor w/Leather Case 	293	10
92632	4/15/2003	99	NEW Sealed Palm IIIXE Palm Pilot NR OS 4.1 	312	4
83452	4/15/2003	42	Sealed New Zire Palm Handheld Package - NR! 	300	3
57525	4/15/2003	96	Palm Pilot Palm V hardly used PDA 	223	0
61220	4/15/2003	73	Handspring Treo 180 in perfect condition 	314	9
18894	4/15/2003	82	Compaq Ipaq 3835 - Brand New Sealed Box - LR 	136	10
39160	4/15/2003	52	New Dell Axim X5 Handheld 300 MHz PDA & Case 	171	4
54529	4/15/2003	67	NEW!! Compaq iPAQ 3950 64MB Color PocketPC!! 	223	12
43762	4/15/2003	40	HandSpring Visor Edge Metallic Blue Slim PDA* 	339	9
52038	4/15/2003	12	Dell Axim X5 300MHz Pocket PC 32MB RAM MINT! 	218	12
33599	4/15/2003	34	HP Jornada with lots of accessories!!! 	123	10
55977	4/15/2003	59	Sony PEG-NZ90 CLIE BRAND NEW SEALED BOX !! 	124	15
38604	4/15/2003	78	Handspring Visor Edge (Sliver) - w/ case 	105	7
77122	4/15/2003	20	NEW FACTORY SEALED PALM M105 W/ WARRANTY 	207	0
20947	4/15/2003	78	PALM M105 HANDHELD PDA NEW! 	136	4
43068	4/15/2003	29	Palm m515 PDA m 515 Like New In Original Box 	179	12
61775	4/15/2003	14	New SONY PEG-SJ33 CLIE Handheld w/MP3 >T665C 	132	8
60743	4/15/2003	23	SONY CLIE NZ/NR/NX70-V PALM PILOT/PDA 	164	0
99648	4/15/2003	52	Palm Pilot M505 Color Handheld - Like New 	299	11
64316	4/15/2003	49	"Palm III- with Keyboard, Leather case-Extras! "	190	11
62670	4/15/2003	98	Handera 330 MINT with free 64 meg sd card 	167	11
82737	4/15/2003	49	New Palm Tungsten T never opened low reserve 	231	5
12378	4/15/2003	29	Sony PEG-NZ90 CLIE BRAND NEW SEALED BOX !! 	267	1
65479	4/15/2003	64	*NEW* Palm Zire PDA Electronic Organizer 	145	15
50794	4/15/2003	27	Like New Palm Vx + OS 4.1 + Bonus !! Orig.Box 	148	2
97684	4/15/2003	43	MINT Compaq iPaq 3670 with Navman GPS Bundle! 	128	4
56024	4/15/2003	47	Palm IIIxe w/ 2 leather cases and cradle NR 	334	2
62875	4/15/2003	29	Like new Color PALM M130 plus 	108	4
44834	4/15/2003	15	"Palm IIIc , Extras 4.1 Software, NO RESERVE "	299	0
13299	4/15/2003	11	Palm IIIxe Handheld PDA 	253	4
49743	4/15/2003	65	PALM M105 8MB / Extra Face / Leather Case NR 	315	3
97183	4/15/2003	100	HandSpring Visor Edge PDA GREAT VALUE! 	139	9
26707	4/15/2003	29	Casio Cassiopeia E-125 32MB Pocket PC 	184	3
71708	4/15/2003	37	Palm IIIx Handheld 	141	1
32074	4/15/2003	38	Casio Cassiopeia E-105 32MB Win CE Color PDA 	230	11
88137	4/15/2003	7	Oops Sony Clie PEG N760C for parts 	167	7
33858	4/15/2003	32	Compaq iPaq 3765 Color Pocket PC 	121	2
97422	4/15/2003	70	"Palm IIIx broken screen, NR "	276	5
74500	4/15/2003	34	Casio PDA EM500 EM-500 EM 500 ( 2 UNITS ) 	349	6
99879	4/15/2003	45	New In Box Palm Color Handheld m515 	338	6
80516	4/15/2003	72	IPAQ BATTERY 	204	4
77558	4/15/2003	7	Toshiba E740-NW Pocket PC PDA PA317OU-1PO5 	271	9
61588	4/15/2003	10	Handspring Visor Prisim w/Extras 	200	11
71489	4/15/2003	57	PALM m125 Handheld BRAND NEW in sealed box!!! 	174	7
70079	4/15/2003	72	Palm Pilot Pro with Cradle and Leather Case 	101	0
24751	4/15/2003	30	SONY CLIE T615 color PDA -mint condition 	164	3
70799	4/15/2003	46	Handspring Visor Platinum 8M PDA Handheld NR* 	336	10
92052	4/15/2003	21	Like NEW Sony Clie PEG SL-10 PDA w/FREE SHIP! 	197	1
73394	4/15/2003	57	SONY CLIE PEG-T615CS T615 COLOR PDA SEALED!!! 	149	13
62192	4/15/2003	40	NEW Cybiko Xtreme Extreme Wireless PDA 	169	5
57774	4/15/2003	21	HP Jornada 540 PDA w/ Cradle 	185	4
17957	4/15/2003	22	Sony Clie PEG N760C Color Handheld PDA 	151	12
72087	4/15/2003	38	COMPAQ iPAQ Pocket PC H3135 BRAND NEW SEALED 	252	12
11123	4/15/2003	99	!NEW! Factory Box Sealed Palm VIIx 	198	6
31666	4/15/2003	69	NEW FACTORY SEALED SONY CLIE PEG-SJ20 	301	9
74619	4/15/2003	3	NICE!! Compaq iPAQ 3670 64MB Color PocketPC!! 	346	5
30185	4/15/2003	79	COMPAQ IPAQ 3630 POCKET COLOR DISPLAY NR 	279	7
90664	4/15/2003	65	64 Meg Ipaq with extras!! 	123	5
39759	4/15/2003	13	MINT!! HP Jornada 720 32MB Color Handheld PC! 	335	12
36820	4/15/2003	16	PALM M500 PDA HANDHELD M 500 PILOT 	283	3
93613	4/15/2003	19	HP Jornada 548 - like new + BONUS 	197	8
75690	4/15/2003	62	Palm PDA Model M505 (Used) 	293	12
23708	4/15/2003	81	"PALM PILOT M-500 8MG, ULTRA SLIM, B&W, CASE "	114	7
36919	4/15/2003	76	"HP Jornada 690 - 32MB, Color Screen, +extras "	304	13
43933	4/15/2003	22	Compaq iPAQ 3635/3650 PocketPC LIKE NEW / BOX 	233	15
77957	4/15/2003	95	Like new Palm Vx 5x V 5 PDA Handheld. 	308	1
28803	4/15/2003	95	NEW!! Compaq iPAQ 3950 64MB Color PocketPC!! 	189	10
91409	4/15/2003	31	Palm IIIx w/ Accessories. 	159	8
96574	4/15/2003	68	Palm Zire PDA 	148	4
28972	4/15/2003	7	SONY CLIE PEG-T615C/S T615 COLOR PDA NEW 	317	7
48116	4/15/2003	91	"Palm i705 Wireless Handheld, Brand New In Box "	142	14
43300	4/15/2003	30	Palm VX 8MB CRADLE/ CHARGER SOFTWARE NR!!! 	106	5
13769	4/15/2003	81	COMPAQ IPAQ 3970 FACTORY SEALED 	128	7
75199	4/15/2003	62	"Palm VIIx like new!, In box & all accessories "	283	13
43742	4/15/2003	78	PALM M105 8 MEG PDA NEW!!! 	286	11
35105	4/15/2003	21	HP 200LX Palmtop for spare parts 	270	10
73157	4/15/2003	88	"Palm m505 w/ Hotsync cable, Stylus, and Case "	197	15
78616	4/15/2003	96	NEW FACTORY SEALED SONY CLIE PEG-SL10 	347	11
96692	4/15/2003	48	Palm m130 PDA 	120	8
52438	4/15/2003	83	Palm M105 Like New UNBEATABLE BARGAIN PRICE ! 	317	14
20593	4/15/2003	56	NEW DELL AXIM X5 POCKET PC 400MHZ 64MB > iPAQ 	139	6
75776	4/15/2003	3	Handspring Visor PDA 	186	9
14155	4/15/2003	41	Franklin EBookman 911 	246	14
60203	4/15/2003	33	compaq ipaq 3135 H3135 w/ tons of stuff! *NEW 	333	12
57462	4/15/2003	54	Palm m515 Color PDA like NEW! 	244	0
17441	4/15/2003	4	Brand New Zire Palm Handheld PDA NR SEALED 	157	7
28128	4/15/2003	53	Palm Vx w/Bonus Hard Case and Navigator!!!! 	335	7
70131	4/15/2003	63	Visor Edge and Extras! 	223	8
57540	4/15/2003	61	Toshiba E740-NW Pocket PC PDA PA317OU-1PO5 	202	10
27780	4/15/2003	21	HANDSPRING TREO 90 16MB COLOR PDA 	303	10
85915	4/15/2003	32	Palm M130 BRAND NEW sealed in box 	211	12
94942	4/15/2003	79	Compaq iPAQ Pocket PC 3630 Color PDA LIKE NEW 	290	4
67217	4/15/2003	66	Sony Clie PEG-SJ20 	113	5
77899	4/15/2003	75	Uniden UniPRO PC100 PDA Palm Pilot 	202	12
79993	4/15/2003	58	Palm IIIc Color PDA w NEW Cradle & Charger 	154	15
91134	4/15/2003	27	Hewlett Packard 320LX Palmtop PC 	282	6
44221	4/15/2003	23	COMPAQ IPAQ 3135 w/CF SLEEVE 	331	13
50312	4/15/2003	17	Audiovox Maestro PDA-1032 32MB Toshiba E570 	260	12
92982	4/15/2003	24	Compaq iPAQ H3765 color 	158	9
53602	4/15/2003	21	HP Jornada 560 Series PDA 	245	0
80080	4/15/2003	1	"Visor Pro handheld, NOT WORKING! Look! "	283	0
73671	4/15/2003	79	Like new Palm VIIx 7x 7 VII PDA Handheld. 	168	5
66507	4/15/2003	5	3Com Palm III PDA Handheld 	300	5
98674	4/15/2003	100	Rim Blackberry 957-IE Internet Edition 	350	2
24877	4/15/2003	9	compaq IPAQ 3635 Pocket PC hp pda 	136	10
80712	4/15/2003	6	HP Jornada 568 NR!!!! 	286	15
99198	4/15/2003	66	Palm Zire-New-Unopened-Sealed -NR 	271	13
84721	4/15/2003	1	Handspring Visor Neo + memplug & memory 	176	10
56118	4/15/2003	70	Handspring treo 180 phone/organizer maybe bad 	302	15
40753	4/15/2003	14	NEW Xircom Rex 6000 PDA + Stylus + Case +++++ 	347	8
82672	4/15/2003	33	Handspring Visor Prism 	291	3
63382	4/15/2003	4	Sony Clie Handheld PEG-S300 w/ Synch Cradle 	213	7
24987	4/15/2003	45	Brand New PALM M500!!! 	188	14
84942	4/15/2003	74	Brand New Garmin IQUE 3600 GPS/PDA PALM OS 5! 	334	5
93501	4/15/2003	32	Handspring Prism for parts 	281	13
60171	4/15/2003	83	NEW Palm m505 Color PDA + FREE Leather Case! 	302	4
57100	4/15/2003	78	PALM HANDSPRING TREO 90 PDA COLOR ORGANIZER 	300	9
73645	4/15/2003	59	Palm m105 8MB RAM w/Serial Cradle 	144	13
71175	4/15/2003	76	Brand new Palm Zire PDA Handheld. 	202	0
49058	4/15/2003	52	Non Working Palm M500 	206	11
59329	4/15/2003	57	Palm IIIc GREAT Condition 	132	14
46417	4/15/2003	96	Palm VIIx (7x)- Like New -wireless-No Reserve 	120	8
77655	4/15/2003	72	Palm m125 handheld 	125	12
58189	4/15/2003	55	PALM IIIe HANDHELD ORGANIZER PDA w/CASE - NR! 	211	12
45834	4/15/2003	99	***BRAND NEW*** PALM ZIRE. SEALED! So cool! 	245	6
44611	4/15/2003	2	Palm M105 Handheld Palm No Reserve 	107	7
50082	4/15/2003	8	HANDSPRING VISOR DELUXE GRAPHITE 8MB 	117	4
82124	4/15/2003	31	HP Jornada 547 Color Pocket PC  Brand New! 	173	12
14077	4/15/2003	38	HP Jornada 547 Color Pocket PC  Brand New! 	152	10
14504	4/15/2003	6	PALM IIIe HANDHELD PDA w/ 2 Hotsync Cradles 	298	1
77097	4/15/2003	92	HP Jornada 548 + Great PPC Games!! 	302	14
82307	4/15/2003	13	Treo 300 PCS Phone/PDA - Brand New In Box!! 	327	12
31775	4/15/2003	9	Palm III Connected Organizer w/ Coach Case! 	324	4
37138	4/15/2003	58	HP Jornada 547 Color Pocket PC  Brand New! 	124	10
81281	4/15/2003	15	Sony T665C Color CLIÉ Clie Handheld w/ MP3 	149	4
77054	4/15/2003	37	Sony Clie PEG-S320 PDA Handheld - IN BOX!!! 	295	4
90506	4/15/2003	99	Palm Pilot V PDA + USB Hot Sync + Lthr Cs NR! 	263	5
80003	4/15/2003	33	Like new Palm Zire PDA Handheld. 	151	14
19688	4/15/2003	89	SHARP ZAURUS SL-5500 ** SEALED ** 	310	2
86768	4/15/2003	57	COMPAQ C-Series 8MB Mono Model Handheld 	295	14
65464	4/15/2003	93	"Palm Vx w/ Case, Charger, More "	171	4
59262	4/15/2003	51	HP Jornada 547 Color Pocket PC  Brand New! 	289	13
35001	4/15/2003	50	Compaq Aero 1550 Pocket PC + 24MB MP3 & Xtras 	222	5
59204	4/15/2003	57	Original Palm Vx 	163	13
40994	4/15/2003	62	Palm VII With Built In Modem 	267	8
68903	4/15/2003	55	NEW SEALED COMPAQ HP IPAQ H3835 POCKET PC 	264	11
12409	4/15/2003	59	hp Jornada 820 Handheld PC 	286	14
63746	4/15/2003	79	Palm i705 Brand New (still shrink wrapped) 	186	6
67721	4/15/2003	71	Brand new Palm Zire factory sealed!! 	157	9
41408	4/15/2003	18	NEW DELL AXIM X5 300 300M POCKET PC PDA+CASE 	171	6
67875	4/15/2003	95	HP Jornada 520 	268	14
26386	4/15/2003	77	BRAND NEW IN BOX PALM M500 Lexus version 	118	2
30900	4/15/2003	3	HP Jornada 547 Color Pocket PC  Brand New! 	343	6
74088	4/15/2003	42	HANDSPRING VISOR EDGE PDA P/N: 1007NA 	302	2
64951	4/15/2003	4	PALM ZIRE - NEW - NO RESERVE - L@@K!!!!!!!!!! 	300	6
21399	4/15/2003	97	Compaq iPaq 3670 BRAND NEW in BOX SEALED!!! 	165	13
14382	4/15/2003	10	HandEra 330 Palm OS & GCoder Pkg Hand Era 	174	5
85581	4/15/2003	14	Casio Cassiopeia 4mb Handheld PV-400 Plus 	294	9
85681	4/15/2003	54	Compaq iPaq 3670 BRAND NEW in BOX SEALED!!! 	145	9
32192	4/15/2003	2	"Palm IIIe, 2 Mb, cradle, spare cable, sw, NR! "	224	4
65644	4/15/2003	71	"HP Jornada 568 w/cust cover+xtra batt., games "	169	0
61050	4/15/2003	8	Handspring Visor Prism Color PDA 	177	0
99341	4/15/2003	95	HANDSPRING Visor Deluxe PDA - Black 	290	12
54714	4/15/2003	46	Compaq iPAQ Pocket PC H3850 (H3835)WARRANTY!! 	308	8
85106	4/15/2003	44	"Jornada 548 -- Barely used, great first PDA "	276	5
33418	4/15/2003	53	CASIO PV-S250 (2mb) - SLIM DESIGN - PERFECT 	291	8
57733	4/15/2003	22	"HP IPAQ 5455 ""NEW"" WITH LOTS OF EXTRAS :o) "	337	0
38230	4/15/2003	65	iPAQ 3630/3650 with Bonus Programs 	276	14
63189	4/15/2003	65	*** Brand New Palm m515 *** 	338	5
98386	4/15/2003	62	HP Jornada 547 Color Pocket PC  Brand New! 	118	12
62771	4/15/2003	41	"Palm IIIxe (3xe) PDA, cradle, and handbook "	121	14
89474	4/15/2003	52	palm m515 	121	4
24335	4/15/2003	47	LIKE NEW PALM VIIx-EXCELLENT COND. N/R 	291	4
35735	4/15/2003	61	Franklin e bookman 901 	195	9
29106	4/15/2003	57	Palm V w/ Aluminum Case GREAT 	137	0
79946	4/15/2003	77	PALM 3E PALM IIIE 2 WITH BROKEN SCREEN 	333	7
25588	4/15/2003	88	Sharp Wizard OZ-630 256KByte PDA Organizer 	249	14
98370	4/15/2003	93	Mint HP Compaq 5455 - IPAQ 5400 5450 + EXTRAS 	210	12
86191	4/15/2003	99	PALM IIIc w/ Protective Case!! 	275	1
60863	4/15/2003	84	Like New Sony CLIE PEG-SJ30 Handheld PDA 	238	6
74135	4/15/2003	15	Palm Vx PDA/handheld w/ original box/contents 	198	7
45127	4/15/2003	13	Palm Pilot Professional w/ cradle 	336	10
41958	4/15/2003	76	Handspring treo 180 phone/organizer maybe bad 	342	12
33678	4/15/2003	23	NEW Palm Tungsten T Handheld Bluetooth >M130 	327	0
43527	4/15/2003	60	"PALM M105, HARDLY USED, IN BOX "	217	11
15164	4/15/2003	28	Compaq iPaq 3600 w/ Expansion Pack 	259	13
42028	4/15/2003	4	Palm IIIxe w/ leather case & screen covers 	182	14
76731	4/15/2003	51	Palm M125 w/ spare USB cable. 	264	13
99559	4/15/2003	43	franklin eBOOKman EBM-911. 16MB 	268	3
18678	4/15/2003	38	New Palm IIIXe with Cradle & Software CD 	189	0
15945	4/15/2003	45	MSI MS-2010 PDA BRAND NEW NR!!! 	198	4
59044	4/15/2003	31	Used Palm IIIx for parts or repair 	113	10
70801	4/15/2003	21	Like new Palm IIIxe 3xe III 3 PDA Handheld. 	128	0
92336	4/15/2003	71	NEW motherboard for Sharp/Newton PDA 	100	10
63046	4/15/2003	12	SONY CLIE PEG-N760C 760 PALM HANDHELD MP3 	330	4
21951	4/15/2003	2	Palm m505 w/ accessories 	131	13
36471	4/15/2003	82	Cassiopia E-100[Used Once]w/ 20 Screen Gaurds 	301	8
49843	4/15/2003	70	Newton 130 plus Accessories 	265	15
71267	4/15/2003	24	Palm IIIe and cradle 	153	5
40900	4/15/2003	98	Sony Clie PEG-SJ20 	204	4
93583	4/15/2003	12	PALM M500 with Proporta aluminium case 	344	3
82928	4/15/2003	29	Handspring Visor Deluxe Graphite Version 	119	14
91576	4/15/2003	68	HP Jornada 540 Series w/ Minstrel 540 !!!!!! 	160	2
96220	4/15/2003	49	Casio PV-100 PDA w/Sync Cradle and Software 	101	13
57853	4/15/2003	47	Palm m105 Cracked LCD-touchpad still works 	306	13
56026	4/15/2003	57	Palm PDA - US Robotics w/ Stylus and Case 	164	6
14179	4/15/2003	94	Sharp YO290P Memo Master Organizer NR 	229	0
68566	4/15/2003	70	NEC MobilePro 450 Handheld Personal Computer 	272	6
38616	4/15/2003	45	Phillips Velo Handhelp computer organizer 	157	11
27939	4/15/2003	81	Sony Clie PEG-SL10 Handheld 	348	3
87923	4/15/2003	73	Palm Zire Handheld New Unopened FREE SHIPPING 	208	2
93742	4/15/2003	3	Pocket PC Bible Life Application NEW UNOPENED 	285	15
69603	4/15/2003	69	Poceket PC T-Mobile PDA/Cell Combo-NO RESERVE 	233	14
88292	4/15/2003	39	Palm m105 8MB RAM w/Serial Cradle 	165	0
13614	4/15/2003	42	Maestro Pocket PC 	270	10
37926	4/15/2003	65	SONY CLIE PEG-NR70V COLOR PDA MP3 CAMERA NR70 	306	0
85823	4/15/2003	51	Palm PDA - US Robotics w/ Stylus and Case 	302	13
24830	4/15/2003	65	Palm VIIx Wireless PDA with Hot Sync Cradle. 	284	11
53320	4/15/2003	63	"Sony CLIE PEG-T415 Practically New, In Box "	285	3
89204	4/15/2003	70	"Palm Personal Data Assistant (PDA), Perfect!! "	289	4
97524	4/15/2003	86	NEW! PALM PILOT IIIxe PDA OS4.1 - BEST PRICE! 	170	13
51407	4/15/2003	32	Palm PDA - US Robotics w/ Stylus and Case 	317	11
99519	4/15/2003	76	SONY CLIE PEG- NX70V Color PDA &Camera 	161	5
11265	4/15/2003	86	SHARP PERSONAL ORGANIZER /TRANSLATOR 	250	5
63643	4/15/2003	11	Compaq IPAQ 3975 Pocket PC 64MB BlueTooth NR* 	316	7
89141	4/15/2003	29	Compaq Ipaq H3835 Pocket PC 64M MP3 Like New* 	174	9
47818	4/15/2003	96	PALM PILOT TOUCH SCREEN ORGANIZER/NEW/NWT 	294	12
61830	4/15/2003	76	Sharp Memo Master Organizer El-6890 	266	4
81494	4/15/2003	87	Palm IIIc PDA nr 	282	0
52991	4/15/2003	60	Newton 130 with case chargeing base and acc. 	169	13
74786	4/15/2003	34	"Palm Vx COMPLETE With OS 4.1 , Excellent "	309	2
51172	4/15/2003	7	daVinci Palm PDA by Royal 	134	4
66525	4/15/2003	9	Touch-Screen Organizer 	263	2
99880	4/15/2003	70	Like New Palm M105 & Folding Palm Keyboard NR 	168	10
27917	4/15/2003	27	BROKEN PALM IIIe PDA-STILL POWERS ON 	135	9
13032	4/15/2003	85	Palm PDA - US Robotics w/ Stylus and Case 	304	10
51636	4/15/2003	70	Compaq IPAQ 3955 w/keyboard 	171	6
30883	4/15/2003	65	Cassiopeia E-115 PocketPC Handheld Extras PDA 	130	1
80522	4/15/2003	75	HP iPaq H1910 PDA - New and Unopened 	244	11
70647	4/15/2003	3	NEW PALM M130 M 130 PDA HANDHELD PILOT COLOR 	186	7
75643	4/15/2003	78	Palm M505 Handheld PDA Color 8MB Manual+CD+NR 	220	5
24918	4/15/2003	52	NEW Palm ZIRE Handheld PDA *FREE SHIP w/BIN* 	132	1
43158	4/15/2003	65	NEW! DELL AXIM X5 300MHz PDA 300 MHz / CASE 	199	3
89225	4/15/2003	82	Sony Color CLIE PEG-T665C PDA w/ lether case 	178	1
37795	4/15/2003	12	"PALM M515, Super!, COLOR!, Expandable PDA "	292	4
90597	4/15/2003	2	NEW Palm Tungsten T handheld P80850US SEALED 	116	8
76802	4/15/2003	45	HP JORNADA 690 HANDHELD PC PDA 	337	1
58872	4/15/2003	66	PALM M130 M 130 PDA HANDHELD PILOT NEW COLOR 	237	15
93789	4/15/2003	88	Sony Color CLIE PEG-T665C PDA w/ lether case 	129	5
52252	4/15/2003	35	Compaq Ipaq 3835 *LIKE NEW* Pocket PC NR 	141	12
15322	4/15/2003	84	Palm m130 Color Handheld Brand New 	230	0
32938	4/15/2003	75	NEW SEALED Toshiba E740 Pocket PC with Wi-Fi 	227	10
48936	4/15/2003	63	IPAQ 3765 COLOR HANDHELD PC + USB Cradle Kit! 	265	13
65638	4/15/2003	99	Palm m500 w/ MODEM and 16MB Expansion + CASE 	311	8
80213	4/15/2003	72	"Palm M130 Color Screen, Virtually Unused "	146	14
86569	4/15/2003	35	Sony NZ90 PDA !!!NEW!!! 	301	2
50951	4/15/2003	84	NEW RETAIL BOXED HANDSPRING TREO 90 COLOR PDA 	134	2
26377	4/15/2003	12	NEW TOSHIBA e740 POCKET PC PDA Wireless PALM 	162	8
75790	4/15/2003	64	*NEW* Dell Axim X5 400MHz 64MB w/ USB Cradle 	231	13
26731	4/15/2003	20	Compaq iPaq H3600 and accessories 	321	3
41057	4/15/2003	48	BRAND NEW PALM ZIRE HANDHELD PDA IN BOX 	316	5
60087	4/15/2003	8	Palm Color m515 MINT No Reserve 	231	9
22605	4/15/2003	37	"PALM M130, COLOR!, Expandable! PDA "	106	9
55810	4/15/2003	99	Brand New Palm Zire Handheld PDA Organizer NR 	277	10
88246	4/15/2003	32	Dell Axim X5 400MHz 400 MHZ Pocket PC NEW 	175	1
39088	4/15/2003	98	Toshiba pocket PC E740 	301	3
95636	4/15/2003	44	NEW! DELL AXIM X5 400MHz Color PDA w/Cradle 	171	10
72437	4/15/2003	16	New HP Jornada 545 - Used Once - Excellent! 	219	5
44606	4/15/2003	27	NEW DELL Axim X5 Pocket PC PDA 400Mhz 	217	5
23040	4/15/2003	64	*NEW* DeLL Axim X5 400 Pocket PC PDA +Cradle 	297	13
